	Moffitt_tumor_predicted	Collison_predicted	Bailey_predicted	MFP	Cohort
GSM1520780	Classical	Exocrine	ADEX	IE	PUB_Janky_GSE62165
GSM1520781	Classical	Exocrine	ADEX	F	PUB_Janky_GSE62165
GSM1520782	Classical	Exocrine	ADEX	IEF	PUB_Janky_GSE62165
GSM1520783	Classical	Classical	ADEX	IE	PUB_Janky_GSE62165
GSM1520785	Classical	Classical	Immunogenic	IE	PUB_Janky_GSE62165
GSM1520786	Classical	Classical	Immunogenic	F	PUB_Janky_GSE62165
GSM1520787	Classical	Classical	Immunogenic	IE	PUB_Janky_GSE62165
GSM1520788	Basal-like	QM	ADEX	ID	PUB_Janky_GSE62165
GSM1520789	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Janky_GSE62165
GSM1520790	Classical	QM	ADEX	IEF	PUB_Janky_GSE62165
GSM1520791	Classical	Classical	ADEX	IEF	PUB_Janky_GSE62165
GSM1520792	Classical	Classical	Immunogenic	IEF	PUB_Janky_GSE62165
GSM1520793	Basal-like	Exocrine	ADEX	ID	PUB_Janky_GSE62165
GSM1520794	Basal-like	QM	ADEX	F	PUB_Janky_GSE62165
GSM1520795	Basal-like	QM	Immunogenic	IEF	PUB_Janky_GSE62165
GSM1520796	Classical	Classical	ADEX	IE	PUB_Janky_GSE62165
GSM1520797	Classical	Exocrine	ADEX	F	PUB_Janky_GSE62165
GSM1520798	Classical	Exocrine	ADEX	IE	PUB_Janky_GSE62165
GSM1520799	Classical	Exocrine	ADEX	IE	PUB_Janky_GSE62165
GSM1520800	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Janky_GSE62165
GSM1520801	Classical	Classical	ADEX	F	PUB_Janky_GSE62165
GSM1520802	Classical	Classical	ADEX	IE	PUB_Janky_GSE62165
GSM1520803	Basal-like	QM	ADEX	F	PUB_Janky_GSE62165
GSM1520804	Classical	QM	Immunogenic	IEF	PUB_Janky_GSE62165
GSM1520805	Classical	QM	Immunogenic	IEF	PUB_Janky_GSE62165
GSM1520806	Basal-like	QM	ADEX	ID	PUB_Janky_GSE62165
GSM1520807	Basal-like	Exocrine	ADEX	F	PUB_Janky_GSE62165
GSM1520809	Basal-like	QM	Pancreatic_Progenitor	IE	PUB_Janky_GSE62165
GSM1520810	Classical	Classical	Immunogenic	IE	PUB_Janky_GSE62165
GSM1520811	Classical	Exocrine	ADEX	IEF	PUB_Janky_GSE62165
GSM1520812	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Janky_GSE62165
GSM1520813	Classical	Exocrine	ADEX	IEF	PUB_Janky_GSE62165
GSM1520814	Classical	Classical	ADEX	IE	PUB_Janky_GSE62165
GSM1520815	Classical	Exocrine	ADEX	IEF	PUB_Janky_GSE62165
GSM1520816	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Janky_GSE62165
GSM1520817	Basal-like	QM	ADEX	F	PUB_Janky_GSE62165
GSM1520818	Classical	Exocrine	ADEX	F	PUB_Janky_GSE62165
GSM1520819	Classical	QM	Immunogenic	IE	PUB_Janky_GSE62165
GSM1520820	Basal-like	Classical	ADEX	F	PUB_Janky_GSE62165
GSM1520821	Basal-like	QM	Squamous	F	PUB_Janky_GSE62165
GSM1520822	Classical	Classical	Pancreatic_Progenitor	IEF	PUB_Janky_GSE62165
GSM1520823	Classical	Classical	ADEX	F	PUB_Janky_GSE62165
GSM1520825	Basal-like	QM	Squamous	ID	PUB_Janky_GSE62165
GSM1520826	Classical	Classical	Pancreatic_Progenitor	F	PUB_Janky_GSE62165
GSM1520827	Classical	Exocrine	ADEX	IE	PUB_Janky_GSE62165
GSM1520828	Basal-like	QM	Squamous	ID	PUB_Janky_GSE62165
GSM1520829	Classical	QM	Immunogenic	F	PUB_Janky_GSE62165
GSM1520830	Classical	Exocrine	ADEX	F	PUB_Janky_GSE62165
GSM1520831	Classical	Exocrine	ADEX	IEF	PUB_Janky_GSE62165
GSM1520832	Classical	Exocrine	ADEX	F	PUB_Janky_GSE62165
GSM1520833	Basal-like	QM	Squamous	IE	PUB_Janky_GSE62165
GSM1520834	Classical	Classical	ADEX	IEF	PUB_Janky_GSE62165
GSM1520835	Classical	Classical	Immunogenic	F	PUB_Janky_GSE62165
GSM1520836	Classical	Classical	ADEX	IEF	PUB_Janky_GSE62165
GSM1520837	Classical	Exocrine	ADEX	IEF	PUB_Janky_GSE62165
GSM1520838	Classical	QM	Immunogenic	F	PUB_Janky_GSE62165
GSM1520839	Basal-like	QM	Squamous	IE	PUB_Janky_GSE62165
GSM1520840	Classical	Exocrine	ADEX	IEF	PUB_Janky_GSE62165
GSM1520841	Basal-like	Exocrine	ADEX	IEF	PUB_Janky_GSE62165
GSM1520843	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Janky_GSE62165
GSM1520844	Basal-like	QM	Squamous	IE	PUB_Janky_GSE62165
GSM1520846	Classical	Exocrine	ADEX	IEF	PUB_Janky_GSE62165
GSM1520847	Classical	Classical	ADEX	F	PUB_Janky_GSE62165
GSM1520848	Classical	Classical	ADEX	F	PUB_Janky_GSE62165
GSM1520850	Classical	Exocrine	ADEX	IEF	PUB_Janky_GSE62165
GSM1520851	Classical	Exocrine	ADEX	IEF	PUB_Janky_GSE62165
GSM1520852	Classical	Classical	ADEX	IEF	PUB_Janky_GSE62165
GSM1520853	Classical	Classical	ADEX	ID	PUB_Janky_GSE62165
GSM1520854	Classical	Exocrine	ADEX	IEF	PUB_Janky_GSE62165
GSM1520856	Classical	Classical	Immunogenic	IEF	PUB_Janky_GSE62165
GSM1520857	Classical	Classical	Pancreatic_Progenitor	F	PUB_Janky_GSE62165
GSM1520858	Basal-like	Exocrine	ADEX	F	PUB_Janky_GSE62165
GSM1520859	Basal-like	QM	ADEX	ID	PUB_Janky_GSE62165
GSM1520861	Classical	Classical	Pancreatic_Progenitor	F	PUB_Janky_GSE62165
GSM1520862	Basal-like	QM	Squamous	IE	PUB_Janky_GSE62165
GSM1520863	Classical	Classical	ADEX	IEF	PUB_Janky_GSE62165
GSM1520864	Classical	QM	ADEX	F	PUB_Janky_GSE62165
GSM1520866	Basal-like	QM	Squamous	ID	PUB_Janky_GSE62165
GSM1520867	Classical	Exocrine	ADEX	IEF	PUB_Janky_GSE62165
GSM1520868	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Janky_GSE62165
GSM1844105_53862	Basal-like	Exocrine	Squamous	IE	PUB_Moffitt_GSE71729
GSM1844106_49360	Basal-like	QM	Squamous	F	PUB_Moffitt_GSE71729
GSM1844107_54249	Classical	QM	Pancreatic_Progenitor	IE	PUB_Moffitt_GSE71729
GSM1844108_48661	Classical	Exocrine	Pancreatic_Progenitor	ID	PUB_Moffitt_GSE71729
GSM1844109_49071	Classical	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844110_53838	Classical	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844111_49073	Classical	QM	Squamous	F	PUB_Moffitt_GSE71729
GSM1844112_48556	Basal-like	QM	Squamous	ID	PUB_Moffitt_GSE71729
GSM1844113_48558	Basal-like	Classical	Squamous	F	PUB_Moffitt_GSE71729
GSM1844114_52042	Classical	QM	Squamous	IE	PUB_Moffitt_GSE71729
GSM1844115_52043	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Moffitt_GSE71729
GSM1844116_48562	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Moffitt_GSE71729
GSM1844117_48564	Basal-like	QM	Squamous	F	PUB_Moffitt_GSE71729
GSM1844118_48567	Classical	Classical	Immunogenic	IE	PUB_Moffitt_GSE71729
GSM1844119_48568	Basal-like	Exocrine	Squamous	IEF	PUB_Moffitt_GSE71729
GSM1844120_49388	Classical	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844121_46648	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Moffitt_GSE71729
GSM1844122_46649	Classical	QM	Squamous	IEF	PUB_Moffitt_GSE71729
GSM1844123_46650	Classical	Exocrine	Pancreatic_Progenitor	IEF	PUB_Moffitt_GSE71729
GSM1844124_46651	Classical	Exocrine	Pancreatic_Progenitor	F	PUB_Moffitt_GSE71729
GSM1844125_47702	Classical	Classical	Squamous	IE	PUB_Moffitt_GSE71729
GSM1844126_46652	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Moffitt_GSE71729
GSM1844127_46987	Classical	Exocrine	Pancreatic_Progenitor	IE	PUB_Moffitt_GSE71729
GSM1844128_46653	Basal-like	Classical	Squamous	ID	PUB_Moffitt_GSE71729
GSM1844129_46832	Basal-like	Exocrine	Squamous	F	PUB_Moffitt_GSE71729
GSM1844130_46831	Basal-like	QM	Squamous	IE	PUB_Moffitt_GSE71729
GSM1844131_46985	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Moffitt_GSE71729
GSM1844132_46828	Classical	Classical	Pancreatic_Progenitor	F	PUB_Moffitt_GSE71729
GSM1844133_47692	Basal-like	QM	Squamous	ID	PUB_Moffitt_GSE71729
GSM1844134_46986	Classical	Classical	Squamous	IE	PUB_Moffitt_GSE71729
GSM1844135_47590	Classical	Exocrine	Pancreatic_Progenitor	IE	PUB_Moffitt_GSE71729
GSM1844136_47969	Classical	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844137_47989	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Moffitt_GSE71729
GSM1844138_46581	Classical	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844139_46582	Classical	Exocrine	Pancreatic_Progenitor	F	PUB_Moffitt_GSE71729
GSM1844140_46830	Classical	QM	Squamous	IEF	PUB_Moffitt_GSE71729
GSM1844141_46584	Classical	Classical	Pancreatic_Progenitor	IEF	PUB_Moffitt_GSE71729
GSM1844142_47703	Basal-like	QM	Squamous	ID	PUB_Moffitt_GSE71729
GSM1844143_47708	Classical	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844144_46450	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Moffitt_GSE71729
GSM1844145_47695	Classical	Classical	Pancreatic_Progenitor	F	PUB_Moffitt_GSE71729
GSM1844146_48550	Classical	Exocrine	Immunogenic	ID	PUB_Moffitt_GSE71729
GSM1844147_46339	Basal-like	Classical	Squamous	IE	PUB_Moffitt_GSE71729
GSM1844148_46578	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Moffitt_GSE71729
GSM1844149_46585	Classical	Exocrine	Squamous	IEF	PUB_Moffitt_GSE71729
GSM1844150_46337	Classical	QM	Squamous	F	PUB_Moffitt_GSE71729
GSM1844151_46587	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Moffitt_GSE71729
GSM1844152_47700	Classical	Exocrine	Squamous	IEF	PUB_Moffitt_GSE71729
GSM1844153_46826	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Moffitt_GSE71729
GSM1844154_46592	Classical	Classical	Squamous	ID	PUB_Moffitt_GSE71729
GSM1844155_46452	Classical	Exocrine	ADEX	F	PUB_Moffitt_GSE71729
GSM1844156_46460	Basal-like	QM	Squamous	ID	PUB_Moffitt_GSE71729
GSM1844157_47983	Classical	Classical	Pancreatic_Progenitor	F	PUB_Moffitt_GSE71729
GSM1844158_46642	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Moffitt_GSE71729
GSM1844159_47701	Basal-like	QM	Squamous	F	PUB_Moffitt_GSE71729
GSM1844160_46643	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Moffitt_GSE71729
GSM1844161_47965	Basal-like	Exocrine	Squamous	IEF	PUB_Moffitt_GSE71729
GSM1844162_46644	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Moffitt_GSE71729
GSM1844163_46645	Classical	Exocrine	Pancreatic_Progenitor	ID	PUB_Moffitt_GSE71729
GSM1844164_46646	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Moffitt_GSE71729
GSM1844165_49390	Classical	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844166_49392	Basal-like	QM	Squamous	F	PUB_Moffitt_GSE71729
GSM1844167_64482	Basal-like	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844168_64500	Classical	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844169_72613	Classical	Classical	Pancreatic_Progenitor	F	PUB_Moffitt_GSE71729
GSM1844170_64501	Classical	Classical	Pancreatic_Progenitor	IEF	PUB_Moffitt_GSE71729
GSM1844171_72616	Classical	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844172_64502	Basal-like	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844173_64503	Basal-like	Exocrine	Pancreatic_Progenitor	F	PUB_Moffitt_GSE71729
GSM1844174_64504	Classical	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844175_64505	Classical	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844176_64507	Basal-like	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844177_64508	Classical	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844178_64509	Basal-like	Exocrine	ADEX	F	PUB_Moffitt_GSE71729
GSM1844179_64510	Basal-like	Exocrine	Pancreatic_Progenitor	F	PUB_Moffitt_GSE71729
GSM1844180_46647	Basal-like	QM	Squamous	ID	PUB_Moffitt_GSE71729
GSM1844181_48569	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Moffitt_GSE71729
GSM1844182_64498	Basal-like	Exocrine	Squamous	ID	PUB_Moffitt_GSE71729
GSM1844183_64490	Basal-like	QM	Squamous	IE	PUB_Moffitt_GSE71729
GSM1844184_64491	Classical	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844185_64492	Classical	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844186_64494	Basal-like	QM	Squamous	F	PUB_Moffitt_GSE71729
GSM1844187_64495	Classical	QM	Squamous	IEF	PUB_Moffitt_GSE71729
GSM1844188_56525	Basal-like	QM	Squamous	ID	PUB_Moffitt_GSE71729
GSM1844189_56527	Classical	Exocrine	Pancreatic_Progenitor	IE	PUB_Moffitt_GSE71729
GSM1844190_56536	Basal-like	QM	Squamous	ID	PUB_Moffitt_GSE71729
GSM1844191_56537	Classical	Exocrine	ADEX	IE	PUB_Moffitt_GSE71729
GSM1844192_56538	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Moffitt_GSE71729
GSM1844193_56539	Classical	Classical	Pancreatic_Progenitor	IEF	PUB_Moffitt_GSE71729
GSM1844194_56367	Classical	QM	Pancreatic_Progenitor	F	PUB_Moffitt_GSE71729
GSM1844195_56369	Classical	Classical	Pancreatic_Progenitor	IEF	PUB_Moffitt_GSE71729
GSM1844196_56528	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Moffitt_GSE71729
GSM1844197_56529	Classical	Exocrine	Squamous	IEF	PUB_Moffitt_GSE71729
GSM1844198_56530	Classical	Exocrine	Squamous	IE	PUB_Moffitt_GSE71729
GSM1844199_56540	Classical	Exocrine	Squamous	IE	PUB_Moffitt_GSE71729
GSM1844200_56377	Basal-like	Exocrine	ADEX	F	PUB_Moffitt_GSE71729
GSM1844201_56373	Classical	Exocrine	Pancreatic_Progenitor	IEF	PUB_Moffitt_GSE71729
GSM1844202_56374	Basal-like	Exocrine	ADEX	F	PUB_Moffitt_GSE71729
GSM1844203_56541	Basal-like	Exocrine	ADEX	IE	PUB_Moffitt_GSE71729
GSM1844204_56542	Classical	Classical	Pancreatic_Progenitor	F	PUB_Moffitt_GSE71729
GSM1844205_56375	Classical	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844206_56535	Basal-like	Classical	Pancreatic_Progenitor	ID	PUB_Moffitt_GSE71729
GSM1844207_54175	Classical	QM	Squamous	IEF	PUB_Moffitt_GSE71729
GSM1844208_54301	Classical	Exocrine	ADEX	IE	PUB_Moffitt_GSE71729
GSM1844209_54291	Classical	QM	Squamous	ID	PUB_Moffitt_GSE71729
GSM1844210_54302	Basal-like	QM	Squamous	F	PUB_Moffitt_GSE71729
GSM1844211_54303	Classical	Classical	Pancreatic_Progenitor	IEF	PUB_Moffitt_GSE71729
GSM1844212_54172	Classical	QM	Squamous	IEF	PUB_Moffitt_GSE71729
GSM1844213_54304	Classical	Classical	Pancreatic_Progenitor	F	PUB_Moffitt_GSE71729
GSM1844214_54305	Classical	QM	Squamous	IEF	PUB_Moffitt_GSE71729
GSM1844215_54309	Classical	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844216_54306	Basal-like	Exocrine	Squamous	F	PUB_Moffitt_GSE71729
GSM1844217_54307	Classical	QM	Squamous	ID	PUB_Moffitt_GSE71729
GSM1844218_54292	Classical	Exocrine	ADEX	IE	PUB_Moffitt_GSE71729
GSM1844219_54243	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Moffitt_GSE71729
GSM1844220_54308	Classical	QM	Squamous	ID	PUB_Moffitt_GSE71729
GSM1844221_54293	Classical	QM	Squamous	IE	PUB_Moffitt_GSE71729
GSM1844222_54310	Classical	QM	Pancreatic_Progenitor	IEF	PUB_Moffitt_GSE71729
GSM1844223_54315	Basal-like	QM	Squamous	ID	PUB_Moffitt_GSE71729
GSM1844224_54311	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Moffitt_GSE71729
GSM1844225_54312	Classical	Exocrine	Pancreatic_Progenitor	IEF	PUB_Moffitt_GSE71729
GSM1844226_54299	Classical	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844227_54313	Basal-like	Exocrine	Squamous	IE	PUB_Moffitt_GSE71729
GSM1844228_54314	Classical	QM	Pancreatic_Progenitor	F	PUB_Moffitt_GSE71729
GSM1844229_54294	Classical	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844230_54295	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Moffitt_GSE71729
GSM1844231_54173	Classical	Exocrine	Pancreatic_Progenitor	ID	PUB_Moffitt_GSE71729
GSM1844232_54316	Basal-like	QM	Squamous	IE	PUB_Moffitt_GSE71729
GSM1844233_54317	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Moffitt_GSE71729
GSM1844234_54297	Classical	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844235_54300	Classical	QM	Squamous	F	PUB_Moffitt_GSE71729
GSM1844236_54318	Classical	Classical	Immunogenic	IE	PUB_Moffitt_GSE71729
GSM1844237_54296	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Moffitt_GSE71729
GSM1844238_54174	Classical	Classical	Pancreatic_Progenitor	F	PUB_Moffitt_GSE71729
GSM1844239_54298	Classical	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844240_54171	Classical	QM	Squamous	IE	PUB_Moffitt_GSE71729
GSM1844241_64496	Basal-like	QM	Squamous	IEF	PUB_Moffitt_GSE71729
GSM1844242_56322	Classical	Exocrine	Immunogenic	F	PUB_Moffitt_GSE71729
GSM1844243_56326	Basal-like	QM	Squamous	IE	PUB_Moffitt_GSE71729
GSM1844244_56534	Classical	Classical	Pancreatic_Progenitor	F	PUB_Moffitt_GSE71729
GSM1844245_56531	Classical	QM	Squamous	IEF	PUB_Moffitt_GSE71729
GSM1844246_56523	Classical	QM	Squamous	IEF	PUB_Moffitt_GSE71729
GSM1844247_56316	Classical	QM	ADEX	IEF	PUB_Moffitt_GSE71729
GSM1844248_56320	Basal-like	QM	Squamous	IE	PUB_Moffitt_GSE71729
GSM1844249_64497	Classical	Exocrine	ADEX	IEF	PUB_Moffitt_GSE71729
GSM2100851	Classical	Exocrine	ADEX	F	PUB_Kirby_GSE79668
GSM2100852	Classical	QM	Pancreatic_Progenitor	F	PUB_Kirby_GSE79668
GSM2100853	Classical	Classical	Pancreatic_Progenitor	IEF	PUB_Kirby_GSE79668
GSM2100854	Basal-like	Classical	Squamous	F	PUB_Kirby_GSE79668
GSM2100855	Classical	Classical	Immunogenic	IE	PUB_Kirby_GSE79668
GSM2100856	Basal-like	QM	Squamous	ID	PUB_Kirby_GSE79668
GSM2100857	Basal-like	Exocrine	Squamous	ID	PUB_Kirby_GSE79668
GSM2100858	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Kirby_GSE79668
GSM2100859	Classical	QM	Squamous	IEF	PUB_Kirby_GSE79668
GSM2100860	Classical	Exocrine	Squamous	IEF	PUB_Kirby_GSE79668
GSM2100861	Classical	Exocrine	ADEX	F	PUB_Kirby_GSE79668
GSM2100862	Basal-like	QM	Squamous	F	PUB_Kirby_GSE79668
GSM2100863	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Kirby_GSE79668
GSM2100864	Basal-like	QM	Squamous	ID	PUB_Kirby_GSE79668
GSM2100865	Classical	Classical	Pancreatic_Progenitor	IEF	PUB_Kirby_GSE79668
GSM2100866	Basal-like	Classical	Squamous	IE	PUB_Kirby_GSE79668
GSM2100867	Classical	Exocrine	ADEX	IEF	PUB_Kirby_GSE79668
GSM2100868	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Kirby_GSE79668
GSM2100869	Basal-like	QM	Squamous	IE	PUB_Kirby_GSE79668
GSM2100870	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Kirby_GSE79668
GSM2100871	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Kirby_GSE79668
GSM2100872	Classical	Classical	Squamous	IE	PUB_Kirby_GSE79668
GSM2100874	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Kirby_GSE79668
GSM2100875	Classical	Classical	Immunogenic	IE	PUB_Kirby_GSE79668
GSM2100876	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Kirby_GSE79668
GSM2100877	Classical	QM	Squamous	IEF	PUB_Kirby_GSE79668
GSM2100878	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Kirby_GSE79668
GSM2100879	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Kirby_GSE79668
GSM2100880	Classical	Classical	Pancreatic_Progenitor	IEF	PUB_Kirby_GSE79668
GSM2100881	Classical	Classical	Pancreatic_Progenitor	F	PUB_Kirby_GSE79668
GSM2100882	Classical	Exocrine	Squamous	F	PUB_Kirby_GSE79668
GSM2100883	Classical	Classical	Immunogenic	IE	PUB_Kirby_GSE79668
GSM2100884	Classical	Exocrine	ADEX	F	PUB_Kirby_GSE79668
GSM2100885	Basal-like	QM	Squamous	ID	PUB_Kirby_GSE79668
GSM2100886	Basal-like	Classical	Squamous	F	PUB_Kirby_GSE79668
GSM2100887	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Kirby_GSE79668
GSM2100888	Basal-like	QM	Squamous	ID	PUB_Kirby_GSE79668
GSM2100889	Basal-like	Classical	Pancreatic_Progenitor	IE	PUB_Kirby_GSE79668
GSM2100890	Classical	Classical	Immunogenic	IE	PUB_Kirby_GSE79668
GSM2100891	Basal-like	Exocrine	ADEX	F	PUB_Kirby_GSE79668
GSM2100892	Classical	Classical	Pancreatic_Progenitor	F	PUB_Kirby_GSE79668
GSM2100893	Classical	Classical	Pancreatic_Progenitor	F	PUB_Kirby_GSE79668
GSM2100894	Basal-like	Exocrine	Immunogenic	IEF	PUB_Kirby_GSE79668
GSM2100895	Classical	Classical	Pancreatic_Progenitor	IE	PUB_Kirby_GSE79668
GSM2100896	Classical	Classical	Pancreatic_Progenitor	ID	PUB_Kirby_GSE79668
GSM2100897	Basal-like	Exocrine	Squamous	F	PUB_Kirby_GSE79668
GSM2100898	Classical	QM	Immunogenic	IE	PUB_Kirby_GSE79668
GSM2100899	Classical	Exocrine	Pancreatic_Progenitor	F	PUB_Kirby_GSE79668
GSM2100900	Basal-like	QM	Squamous	IE	PUB_Kirby_GSE79668
GSM2100901	Basal-like	QM	Squamous	F	PUB_Kirby_GSE79668
C3N-03840	Classical	Exocrine	ADEX	IEF	PUB_PAAD_CPTAC
C3L-04853	Basal-like	Exocrine	ADEX	ID	PUB_PAAD_CPTAC
C3L-00625	Classical	Classical	Squamous	F	PUB_PAAD_CPTAC
C3L-04479	Classical	QM	Immunogenic	F	PUB_PAAD_CPTAC
C3N-03426	Classical	Classical	Immunogenic	IE	PUB_PAAD_CPTAC
C3N-03430	Basal-like	QM	Squamous	ID	PUB_PAAD_CPTAC
C3N-03440	Classical	Exocrine	ADEX	F	PUB_PAAD_CPTAC
C3N-03666	Classical	Classical	Immunogenic	F	PUB_PAAD_CPTAC
C3L-02613	Basal-like	QM	Squamous	IE	PUB_PAAD_CPTAC
C3L-00401	Classical	Exocrine	Immunogenic	IE	PUB_PAAD_CPTAC
C3L-00622	Classical	Exocrine	ADEX	F	PUB_PAAD_CPTAC
C3L-02115	Classical	Exocrine	ADEX	IEF	PUB_PAAD_CPTAC
C3L-03630	Classical	Exocrine	Immunogenic	IE	PUB_PAAD_CPTAC
C3N-03884	Basal-like	QM	Squamous	ID	PUB_PAAD_CPTAC
C3N-03754	Classical	Exocrine	ADEX	ID	PUB_PAAD_CPTAC
C3N-03670	Classical	Exocrine	ADEX	IEF	PUB_PAAD_CPTAC
C3N-00517	Classical	Exocrine	ADEX	IEF	PUB_PAAD_CPTAC
C3N-03190	Classical	Exocrine	ADEX	IEF	PUB_PAAD_CPTAC
C3L-01053	Classical	Exocrine	ADEX	IEF	PUB_PAAD_CPTAC
C3L-04475	Classical	Classical	Pancreatic_Progenitor	F	PUB_PAAD_CPTAC
C3N-02589	Classical	Exocrine	ADEX	IEF	PUB_PAAD_CPTAC
C3L-02604	Classical	Classical	Squamous	ID	PUB_PAAD_CPTAC
C3L-01598	Basal-like	Classical	Immunogenic	ID	PUB_PAAD_CPTAC
C3N-02940	Classical	Exocrine	ADEX	IE	PUB_PAAD_CPTAC
C3N-01998	Classical	Exocrine	ADEX	IE	PUB_PAAD_CPTAC
C3N-02010	Classical	Classical	Immunogenic	IE	PUB_PAAD_CPTAC
C3L-03743	Classical	QM	Pancreatic_Progenitor	F	PUB_PAAD_CPTAC
C3N-02592	Basal-like	QM	Immunogenic	IE	PUB_PAAD_CPTAC
C3L-02112	Classical	Exocrine	ADEX	IEF	PUB_PAAD_CPTAC
C3L-01052	Classical	Exocrine	ADEX	IEF	PUB_PAAD_CPTAC
C3L-00017	Classical	Classical	Immunogenic	IE	PUB_PAAD_CPTAC
C3L-01689	Basal-like	QM	Pancreatic_Progenitor	F	PUB_PAAD_CPTAC
C3L-02116	Classical	Classical	Immunogenic	IE	PUB_PAAD_CPTAC
C3N-03069	Basal-like	QM	Squamous	F	PUB_PAAD_CPTAC
C3L-00640	Classical	QM	Immunogenic	IE	PUB_PAAD_CPTAC
C3L-03123	Classical	QM	Immunogenic	IE	PUB_PAAD_CPTAC
C3N-00302	Basal-like	QM	Squamous	F	PUB_PAAD_CPTAC
C3L-01051	Classical	Exocrine	ADEX	F	PUB_PAAD_CPTAC
C3N-03780	Classical	Exocrine	ADEX	IEF	PUB_PAAD_CPTAC
C3L-00598	Basal-like	QM	Squamous	ID	PUB_PAAD_CPTAC
C3L-01037	Basal-like	Exocrine	Squamous	F	PUB_PAAD_CPTAC
C3N-03000	Basal-like	QM	Squamous	F	PUB_PAAD_CPTAC
C3N-01380	Classical	Exocrine	Immunogenic	IEF	PUB_PAAD_CPTAC
C3L-01124	Classical	Classical	Immunogenic	IE	PUB_PAAD_CPTAC
C3N-01165	Basal-like	Exocrine	Immunogenic	ID	PUB_PAAD_CPTAC
C3N-01714	Basal-like	QM	Immunogenic	ID	PUB_PAAD_CPTAC
C3L-04848	Classical	Classical	Immunogenic	IE	PUB_PAAD_CPTAC
C3L-01328	Basal-like	QM	Squamous	ID	PUB_PAAD_CPTAC
C3N-01168	Classical	Exocrine	ADEX	IE	PUB_PAAD_CPTAC
